provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Barcelona,2020-01-01,0,0,0,0,0,0,0,0,0,9.2,0,4.9,13.4,99,2.5,7.2,4.9,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-01,1,1,0,0,0,0,1,0,0,5.4,0,-2.1,12.8,22,0.8,3.6,8.3,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-01,0,0,0,0,0,0,0,0,0,12.8,0,8.3,17.2,14,3.3,6.7,7.7,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-01,0,0,0,0,0,0,0,0,0,7.4,0,3.8,11,99,2.5,7.8,7.9,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-01,0,0,0,0,0,0,1,0,0,11.9,0,6.3,17.5,2,1.9,5.8,9.1,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-02,0,0,0,0,0,0,2,0,0,9.4,0,4.1,14.7,36,4.7,9.7,1.5,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-02,0,0,0,0,0,0,4,1,0,5.3,0,-2.3,12.9,20,1.1,5,8.2,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-02,0,0,0,0,0,0,1,0,0,12,0,7.9,16.2,29,1.9,5,1.8,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-02,0,0,0,0,0,0,0,0,0,7.3,0,3.2,11.4,22,2.8,10.3,2.8,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-02,0,0,0,0,0,0,3,0,0,10.8,0,5.3,16.4,99,1.1,4.7,8.9,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-03,0,0,0,0,0,0,1,0,0,7.8,0,4.5,11,36,5.8,10.3,1.6,NA,NA,NA,NA,NA,NA,NA
